author,email,arxiv_id,published,title
Kaixin Liang,,2512.23044v2,2025-12-28T19:08:27Z,Video-Browser: Towards Agentic Open-web Video Browsing
Nicu Sebe,,2512.23044v2,2025-12-28T19:08:27Z,Video-Browser: Towards Agentic Open-web Video Browsing
Zheng Liu,,2512.23044v2,2025-12-28T19:08:27Z,Video-Browser: Towards Agentic Open-web Video Browsing
Lizi Liao,,2512.23044v2,2025-12-28T19:08:27Z,Video-Browser: Towards Agentic Open-web Video Browsing
Guanghen Liu,,2512.23010v2,2025-12-28T17:17:40Z,Masgent: An AI-assisted Materials Simulation Agent
Songge Yang,,2512.23010v2,2025-12-28T17:17:40Z,Masgent: An AI-assisted Materials Simulation Agent
Yu Zhong,,2512.23010v2,2025-12-28T17:17:40Z,Masgent: An AI-assisted Materials Simulation Agent
I. Sebastian Buhai,,2512.22987v1,2025-12-28T16:09:50Z,Reputation and Disclosure in Dynamic Networks
Tianyi Hu,,2512.22941v1,2025-12-28T14:07:31Z,Heterogeneity in Multi-Agent Reinforcement Learning
Zhiqiang Pu,,2512.22941v1,2025-12-28T14:07:31Z,Heterogeneity in Multi-Agent Reinforcement Learning
Yuan Wang,,2512.22941v1,2025-12-28T14:07:31Z,Heterogeneity in Multi-Agent Reinforcement Learning
Tenghai Qiu,,2512.22941v1,2025-12-28T14:07:31Z,Heterogeneity in Multi-Agent Reinforcement Learning
Min Chen,,2512.22941v1,2025-12-28T14:07:31Z,Heterogeneity in Multi-Agent Reinforcement Learning
Xin Yu,,2512.22941v1,2025-12-28T14:07:31Z,Heterogeneity in Multi-Agent Reinforcement Learning
Danni Xu,,2512.22933v3,2025-12-28T13:58:33Z,Multimodal Fact-Checking: An Agent-based Approach
Shaojing Fan,,2512.22933v3,2025-12-28T13:58:33Z,Multimodal Fact-Checking: An Agent-based Approach
Harry Cheng,,2512.22933v3,2025-12-28T13:58:33Z,Multimodal Fact-Checking: An Agent-based Approach
Mohan Kankanhalli,,2512.22933v3,2025-12-28T13:58:33Z,Multimodal Fact-Checking: An Agent-based Approach
Anton A. Stoorvogel,,2512.22922v1,2025-12-28T13:21:58Z,Weak state synchronization of homogeneous multi-agent systems with adaptive protocols
Ali Saberi,,2512.22922v1,2025-12-28T13:21:58Z,Weak state synchronization of homogeneous multi-agent systems with adaptive protocols
Zhenwei Liu,,2512.22922v1,2025-12-28T13:21:58Z,Weak state synchronization of homogeneous multi-agent systems with adaptive protocols
Tayaba Yeasmin,,2512.22922v1,2025-12-28T13:21:58Z,Weak state synchronization of homogeneous multi-agent systems with adaptive protocols
Meicong Zhang,,2601.09728v1,2025-12-28T12:51:36Z,Eliminating Agentic Workflow for Introduction Generation with Parametric Stage Tokens
